x,y,heading
367154.3508085403,3450731.4737727707,-2.6399089858
367154.1181566461,3450731.3461653804,-2.6399090193
367153.8855047437,3450731.2185579957,-2.6399090416
367153.6528528332,3450731.0909506134,-2.6399090416
367153.6269385762,3450731.0767368875,-2.6399084022
367153.3942867299,3450730.9491293468,-2.6399084340
367153.1616348753,3450730.8215218112,-2.6399084555
367152.9289830173,3450730.6939142803,-2.6399084841
367152.6963311512,3450730.5663067535,-2.6399085087
367152.4636792818,3450730.4386992324,-2.6399085373
367152.2310274041,3450730.3110917155,-2.6399085635
367151.9983755231,3450730.1834842046,-2.6399085983
367151.7657236339,3450730.0558766997,-2.6399086137
367151.5330717412,3450729.9282691977,-2.6399086453
367151.3004198405,3450729.8006617008,-2.6399086699
367151.0677679364,3450729.6730542094,-2.6399086987
367150.8351160240,3450729.5454467223,-2.6399087291
367150.6024641059,3450729.4178392412,-2.6399087537
367150.3698121845,3450729.2902317657,-2.6399087765
367150.1371602572,3450729.1626242939,-2.6399088037
367149.9045083217,3450729.0350168259,-2.6399088357
367149.6718563805,3450728.9074093644,-2.6399088602
367149.4392044359,3450728.7798019084,-2.6399088814
367149.2065524856,3450728.6521944557,-2.6399089210
367148.9739005270,3450728.5245870105,-2.6399089378
367148.7412485651,3450728.3969795685,-2.6399089665
367148.5085965950,3450728.2693721307,-2.6399089957
367148.2759446215,3450728.1417646999,-2.6399090198
367148.0432926398,3450728.0141572719,-2.6399090457
367147.8106406548,3450727.8865498500,-2.6399090958
367147.7847282887,3450727.8723371630,-2.6468446100
367147.5513889595,3450727.7464499990,-2.6468446343
367147.3180496245,3450727.6205628393,-2.6468446660
367147.0847102839,3450727.4946756861,-2.6468446855
367146.8513709376,3450727.3687885357,-2.6468447234
367146.6180315831,3450727.2429013923,-2.6468447432
367146.3846922253,3450727.1170142530,-2.6468447688
367146.1513528618,3450726.9911271185,-2.6468447947
367145.9180134925,3450726.8652399885,-2.6468448307
367145.6846741152,3450726.7393528651,-2.6468448476
367145.4513347344,3450726.6134657450,-2.6468448793
367145.2179953481,3450726.4875786314,-2.6468449037
367144.9846559559,3450726.3616915219,-2.6468449308
367144.7513165581,3450726.2358044176,-2.6468449551
367144.5179771545,3450726.1099173175,-2.6468449868
367144.2846377452,3450725.9840302239,-2.6468450170
367144.0512983277,3450725.8581431350,-2.6468450383
367143.8179589070,3450725.7322560507,-2.6468450640
367143.5846194805,3450725.6063689711,-2.6468450940
367143.3512800459,3450725.4804818961,-2.6468451231
367143.1179406081,3450725.3545948281,-2.6468451412
367142.8846011644,3450725.2287077624,-2.6468451715
367142.6512617150,3450725.1028207028,-2.6468452016
367142.4179222600,3450724.9769336493,-2.6468452275
367142.1845827992,3450724.8510466004,-2.6468452533
367141.9512433326,3450724.7251595561,-2.6468452818
367141.7179038579,3450724.5992725161,-2.6468453001
367141.6589993384,3450724.5674934299,-2.6482503066
367141.4255219029,3450724.4419551613,-2.6482503384
367141.1920444617,3450724.3164168992,-2.6482503687
367140.9585670148,3450724.1908786432,-2.6482503941
367140.7250895598,3450724.0653403904,-2.6482504215
367140.4916121016,3450723.9398021442,-2.6482504458
367140.2581346375,3450723.8142639021,-2.6482504715
367140.0246571677,3450723.6887256647,-2.6482504924
367139.7911796923,3450723.5631874306,-2.6482505275
367139.5577022111,3450723.4376492039,-2.6482505576
367139.3242247243,3450723.3121109833,-2.6482505756
367139.0907472317,3450723.1865727650,-2.6482506062
367138.8572697333,3450723.0610345528,-2.6482506345
367138.6237922295,3450722.9354963461,-2.6482506636
367138.3903147197,3450722.8099581450,-2.6482506873
367138.1568372019,3450722.6844199467,-2.6482507106
367137.9233596831,3450722.5588817550,-2.6482507433
367137.6898821538,3450722.4333435674,-2.6482507595
367137.5679228216,3450722.3677674369,-2.6482503050
367137.3344453307,3450722.2422291380,-2.6482503296
367137.1009678364,3450722.1166908448,-2.6482503599
367136.8674903364,3450721.9911525575,-2.6482503855
367136.6340128307,3450721.8656142750,-2.6482504128
367136.4005353193,3450721.7400759975,-2.6482504411
367136.1670577999,3450721.6145377243,-2.6482504657
367135.9335802770,3450721.4889994566,-2.6482504913
367135.7001027485,3450721.3634611936,-2.6482505216
367135.4666252143,3450721.2379229367,-2.6482505412
367135.2331476744,3450721.1123846825,-2.6482505715
367134.9996701287,3450720.9868464344,-2.6482506059
367134.7661925750,3450720.8613081924,-2.6482506214
367134.5327150178,3450720.7357699531,-2.6482506545
367134.2992374551,3450720.6102317208,-2.6482506847
367134.0657598842,3450720.4846934932,-2.6482507018
367133.8322823123,3450720.3591552703,-2.6482507391
367133.5988047300,3450720.2336170529,-2.6482507450
367133.4768463408,3450720.1680414272,-2.6539012084
367133.2428182992,3450720.0439067655,-2.6539012282
367133.0087902543,3450719.9197721081,-2.6539012568
367132.7747622038,3450719.7956374562,-2.6539012854
367132.5407341477,3450719.6715028100,-2.6539013112
367132.3067060857,3450719.5473681684,-2.6539013366
367132.0726780182,3450719.4232335314,-2.6539013605
367131.8386499451,3450719.2990988987,-2.6539013998
367131.6046218638,3450719.1749642733,-2.6539014179
367131.3705937793,3450719.0508296518,-2.6539014403
367131.1365656892,3450718.9266950339,-2.6539014707
367130.9025375933,3450718.8025604221,-2.6539015006
367130.6685094918,3450718.6784258164,-2.6539015218
367130.4344813846,3450718.5542912139,-2.6539015517
367130.2004532719,3450718.4301566174,-2.6539015790
367129.9664251533,3450718.3060220261,-2.6539016103
367129.7323970267,3450718.1818874399,-2.6539016301
367129.4983688969,3450718.0577528579,-2.6539016602
367129.2643407614,3450717.9336182820,-2.6539016843
367129.0303126202,3450717.8094837102,-2.6539017175
367128.7962844734,3450717.6853491454,-2.6539017400
367128.5622563210,3450717.5612145844,-2.6539017641
367128.3282281628,3450717.4370800275,-2.6539017924
367128.0941999965,3450717.3129454749,-2.6539018033
367128.0533959146,3450717.2913019420,-2.6606913671
367127.8187155459,3450717.1688558287,-2.6606913912
367127.5840351715,3450717.0464097196,-2.6606914165
367127.3493547916,3450716.9239636152,-2.6606914466
367127.1146744060,3450716.8015175168,-2.6606914690
367126.8799940147,3450716.6790714222,-2.6606914973
367126.6453136180,3450716.5566253331,-2.6606915275
367126.4106332156,3450716.4341792502,-2.6606915513
367126.1759528075,3450716.3117331713,-2.6606915814
367125.9412723939,3450716.1892870986,-2.6606916037
367125.7065919747,3450716.0668410296,-2.6606916232
367125.4719115522,3450715.9443949647,-2.6606916623
367125.2372311217,3450715.8219489073,-2.6606916844
367125.0025506858,3450715.6995028537,-2.6606917147
367124.7678702440,3450715.5770568061,-2.6606917432
367124.5331897967,3450715.4546107640,-2.6606917607
367124.2985093439,3450715.3321647244,-2.6606917939
367124.0638288854,3450715.2097186917,-2.6606918164
367123.8512116143,3450715.0987842744,-2.6670992032
367123.6159248672,3450714.9779335284,-2.6670992233
367123.3806381121,3450714.8570827842,-2.6670992538
367123.1453513539,3450714.7362320474,-2.6670992790
367122.9100645902,3450714.6153813154,-2.6670993101
367122.6747778184,3450714.4945305884,-2.6670993312
367122.4394910434,3450714.3736798661,-2.6670993636
367122.2042042606,3450714.2528291494,-2.6670993832
367121.9689174746,3450714.1319784368,-2.6670994116
367121.7336306830,3450714.0111277299,-2.6670994426
367121.4983438835,3450713.8902770281,-2.6670994636
367121.2630570809,3450713.7694263309,-2.6670994977
367121.0277702702,3450713.6485756398,-2.6670995174
367120.7924834564,3450713.5277249529,-2.6670995457
367120.5571966371,3450713.4068742716,-2.6670995783
367120.3219098098,3450713.2860235958,-2.6670995978
367120.0866229793,3450713.1651729243,-2.6670996319
367119.8513361409,3450713.0443222588,-2.6670996498
367119.6160492994,3450712.9234715970,-2.6670996798
367119.3807624523,3450712.8026209413,-2.6670997093
367119.1454755971,3450712.6817702902,-2.6670997302
367118.9101887390,3450712.5609196438,-2.6670997661
367118.6749018727,3450712.4400690040,-2.6670997697
367118.5691560521,3450712.3857546677,-2.6636687751
367118.3341927197,3450712.2640495673,-2.6636688038
367118.0992293815,3450712.1423444725,-2.6636688320
367117.8642660379,3450712.0206393832,-2.6636688502
367117.6293026911,3450711.8989342977,-2.6636688811
367117.3943393363,3450711.7772292173,-2.6636689066
367117.1593759759,3450711.6555241416,-2.6636689339
367116.9244126123,3450711.5338190724,-2.6636689618
367116.6894492408,3450711.4121140074,-2.6636689920
