x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
367132.50346868264, 3450999.121491613, 8.583684351018594, 0.015625, 0.1077976454618794, -0.0, 0.0, 1675671566.9824, 2.1207306449838192, 1, 0.00015625, 13.866666793823242, 0.0, -0.0
367132.505068527, 3450999.124035044, 8.6058870038456, 0.015625, 0.1608993234937775, -0.0, 0.0, 1675671567.0028, 2.120744870277843, 1, 0.0003125, 12.833333015441895, 0.0, -0.0
367132.5060963142, 3450999.125738802, 8.620753556823288, 0.015625, 0.13457070395487256, -0.0, 0.0, 1675671567.0237, 2.1207279993757027, 1, 0.00046875, 12.833333015441895, 0.0, -0.0
367132.50712474325, 3450999.1274986463, 8.635625740725299, 0.015625, 0.03167415086151644, -0.0, 0.0, 1675671567.0444, 2.1207150718989354, 1, 0.000625, 12.833333015441895, 0.0, -0.0
367132.50819863647, 3450999.129294441, 8.650534640183427, 0.03125, 0.06287607016971988, -0.0, 0.0, 1675671567.0703, 2.120707663778182, 1, 0.0009375, 12.833333015441895, 0.0, -0.0
367132.50923577877, 3450999.131128339, 8.66541906261551, 0.03125, 0.09581337571685095, -0.0, 0.0, 1675671567.0911, 2.1207040210400354, 1, 0.00125, 12.833333015441895, 0.0, -0.0
367132.51026941126, 3450999.1330078486, 8.680307641547437, 0.03125, 0.06042113411825645, -0.0, 0.0, 1675671567.1132, 2.120702094671728, 1, 0.0015625, 12.833333015441895, 0.0, -0.0
367132.5118734717, 3450999.1358907027, 8.702714564985904, 0.046875, 0.061943551309691196, -0.0, 0.0, 1675671567.1336, 2.1207076840467707, 1, 0.00203125, 12.600000381469727, 0.0, -0.0
367132.51297000016, 3450999.1379088964, 8.717632808180019, 0.046875, 0.15171989478361317, -0.0, 0.0, 1675671567.1545, 2.1207419988223517, 1, 0.0025, 12.833333015441895, 0.0, -0.0
367132.51410194335, 3450999.139928579, 8.73266568870243, 0.046875, 0.09016303360472268, -0.0, 0.0, 1675671567.1669, 2.120785708874604, 1, 0.00296875, 11.566666603088379, 0.0, -0.0
367132.49324329937, 3450999.137445261, 8.594066738066282, 0.0625, 0.10231287123964103, -0.0, 0.0, 1675671567.1864, 2.1205354414402624, 1, 0.00359375, 11.800000190734863, 0.0, -0.0
367132.4936790386, 3450999.1384490132, 8.601483137857999, 0.046875, 0.09288779342137166, -0.0, 0.0, 1675671567.2127, 2.1205484376907693, 1, 0.0040625, 11.800000190734863, 0.0, -0.0
367132.4945320088, 3450999.1405249434, 8.616264296862864, 0.078125, 0.14934292353924183, -0.0, 0.0, 1675671567.2321, 2.120570142030374, 1, 0.00484375, 11.800000190734863, 0.0, -0.0
367132.494950602, 3450999.1415674686, 8.623677047362351, 0.078125, 0.19282827535020491, -0.0, 0.0, 1675671567.2323, 2.1205757265824055, 1, 0.005625, 11.800000190734863, 0.0, -0.0
367132.49537292664, 3450999.142623764, 8.631100816723011, 0.078125, 0.15216450250790503, -0.0, 0.0, 1675671567.2531, 2.120584881360557, 1, 0.00640625, 11.800000190734863, 0.0, -0.0
367132.4965960634, 3450999.145880291, 8.653339235558043, 0.078125, 0.1157878436941242, -0.0, 0.0, 1675671567.2740, 2.1205957299691187, 1, 0.0071874999999999994, 11.800000190734863, 0.0, -0.0
367132.4974026, 3450999.148113072, 8.668184774502617, 0.0625, 0.1476088545415899, -0.0, 0.0, 1675671567.2927, 2.120602223970903, 1, 0.007812499999999999, 11.800000190734863, 0.0, -0.0
367132.497807553, 3450999.149249573, 8.675621825570566, 0.078125, 0.18296214425104806, -0.0, 0.0, 1675671567.3150, 2.120609717370816, 1, 0.008593749999999999, 11.800000190734863, 0.0, -0.0
367132.49860723404, 3450999.151563068, 8.690512881183382, 0.078125, 0.1412140044152569, -0.0, 0.0, 1675671567.3153, 2.120615304584563, 1, 0.009375, 11.800000190734863, 0.0, -0.0
367132.49900063477, 3450999.152751623, 8.697951780243912, 0.078125, 0.15926074488228015, -0.0, 0.0, 1675671567.3342, 2.1206194508332645, 1, 0.01015625, 11.566666603088379, 0.0, -0.0
367132.4993875236, 3450999.153948109, 8.705406624100476, 0.078125, 0.1332392169541644, -0.0, 0.0, 1675671567.3346, 2.1206232592506673, 1, 0.010937500000000001, 11.566666603088379, 0.0, -0.0
367132.4997691265, 3450999.155158449, 8.712869873647115, 0.078125, 0.11511548716275632, -0.0, 0.0, 1675671567.3501, 2.120626471945439, 1, 0.011718750000000002, 11.566666603088379, 0.0, -0.0
367132.4809810953, 3450999.1542162322, 8.574071592068844, 0.09375, 0.20048944344352176, -0.0, 0.0, 1675671567.3658, 2.1205586539807673, 1, 0.01265625, 12.833333015441895, 0.0, -0.0
367132.48125810357, 3450999.155466633, 8.581428542464945, 0.09375, 0.20582406359381938, -0.0, 0.0, 1675671567.3862, 2.120567077854642, 1, 0.013593750000000002, 12.833333015441895, 0.0, -0.0
367132.48153249035, 3450999.156734864, 8.588793292904759, 0.09375, 0.17068052096178105, -0.0, 0.0, 1675671567.3866, 2.1205767445181145, 1, 0.014531250000000002, 12.833333015441895, 0.0, -0.0
367132.4817880732, 3450999.1580273528, 8.596138046420938, 0.09375, 0.155370980164257, -0.0, 0.0, 1675671567.4117, 2.1205858524478636, 1, 0.015468750000000003, 12.833333015441895, 0.0, -0.0
367132.482312796, 3450999.1606209134, 8.610916437919805, 0.078125, 0.19222497385038456, -0.0, 0.0, 1675671567.4312, 2.1206038262628333, 1, 0.016250000000000004, 12.833333015441895, 0.0, -0.0
367132.48283603723, 3450999.1632474316, 8.62576511420367, 0.109375, 0.13038754347884643, -0.0, 0.0, 1675671567.4520, 2.1206156711537973, 1, 0.017343750000000005, 11.800000190734863, 0.0, -0.0
367132.4836175987, 3450999.167293652, 8.648069749412446, 0.09375, 0.17032927798222153, -0.0, 0.0, 1675671567.4726, 2.1206438691672265, 1, 0.018281250000000006, 12.833333015441895, 0.0, -0.0
367132.4841088968, 3450999.1700687124, 8.66294911179345, 0.109375, 0.04852654663135214, -0.0, 0.0, 1675671567.4934, 2.120656204144593, 1, 0.019375000000000007, 12.600000381469727, 0.0, -0.0
367132.4845866916, 3450999.172947534, 8.677762024058238, 0.109375, 0.1354639769511224, -0.0, 0.0, 1675671567.5145, 2.1206753851617357, 1, 0.020468750000000008, 12.833333015441895, 0.0, -0.0
367132.4850671188, 3450999.1758509264, 8.6926588392922, 0.109375, 0.13298041241326092, -0.0, 0.0, 1675671567.5363, 2.1206872741356824, 1, 0.02156250000000001, 12.600000381469727, 0.0, -0.0
367132.4854953412, 3450999.1788495434, 8.707472741230838, 0.125, 0.1532789730918299, -0.0, 0.0, 1675671567.5550, 2.1206972058609512, 1, 0.02281250000000001, 12.833333015441895, 0.0, -0.0
367132.48570249253, 3450999.1803623512, 8.714897650535574, 0.125, 0.1883074237264141, -0.0, 0.0, 1675671567.5555, 2.1206962941844187, 1, 0.02406250000000001, 12.833333015441895, 0.0, -0.0
367132.4662587886, 3450999.180678121, 8.566353535173459, 0.125, 0.16615748138541886, -0.0, 0.0, 1675671567.5716, 2.1208620890947376, 1, 0.025312500000000012, 12.833333015441895, 0.0, -0.0
367132.4665153923, 3450999.1854138924, 8.588221024851606, 0.125, 0.2360020813740365, -0.0, 0.0, 1675671567.5921, 2.120889629459348, 1, 0.026562500000000013, 13.866666793823242, 0.0, -0.0
367132.4665794169, 3450999.18703266, 8.595524867037035, 0.125, 0.25805710812368665, -0.0, 0.0, 1675671567.6131, 2.120896592551656, 1, 0.027812500000000014, 14.133333206176758, 0.0, -0.0
367132.46670033137, 3450999.1903578285, 8.61015575908572, 0.125, 0.29869137190403783, -0.0, 0.0, 1675671567.6335, 2.1209231840018656, 1, 0.029062500000000015, 13.866666793823242, 0.0, -0.0
